OTU ID	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__cc_115	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Incertae sedis;g__Debaryomyces	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	k__Bacteria;Unassigned;Other;Other;Other;Other;Other	k__Fungi;p__Basidiomycota;c__Incertae sedis;o__Malasseziales;Other;Other	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
01.1124.01	0.00458350420959	0.00318432924034	0.0	0.00342556630401	0.0612983378766	0.0850843123537	0.00159216462017	0.0962053409886	0.0311678286252	0.000120618531831	0.0729742117579	0.351825842697	0.000482474127325	0.000651340071889	0.00576556582153	0.0301966292135	4.82474127325e-05	0.0	0.00458350420959	0.0482232890261
01.1659.01	0.0	0.00755927896108	6.46092218896e-05	0.0161523054724	0.000150754851076	0.00820537117998	0.00277819654125	0.0408330282342	0.00648245859626	0.000150754851076	0.0579113992204	0.929742388759	4.30728145931e-05	0.000344582516745	0.00603019404303	0.0294041113713	0.0	0.0	0.00508259212198	0.0769495832705
01.2096.01	0.0	8.35474236063e-05	0.0	0.00411471061261	2.08868559016e-05	0.0196127576916	0.0117592998726	0.029074503415	0.000334189694425	6.26605677047e-05	0.0323537397915	0.784416231018	2.08868559016e-05	0.000125321135409	0.00380140777409	0.0186706497386	2.08868559016e-05	0.0	0.000167094847213	0.702362303402
01.2333.01	0.00365207864143	0.00379410392193	2.02893257857e-05	0.00618824436464	0.000101446628929	0.613853551646	0.000243471909428	0.021019741514	0.00166372471443	0.000202893257857	0.0545174183862	0.434277751974	0.000223182583643	0.000182603932071	0.00491001684014	0.183000464468	0.0	0.000568101122	0.00996205896078	0.0529145616491
01.2661.01	0.0	0.00013446282103	2.6892564206e-05	0.000510958719914	0.0	0.805190264892	0.000215140513648	0.00381874411725	0.0089821164448	0.000376495898884	0.00174801667339	0.920044419767	0.000107570256824	0.000188247949442	0.00188247949442	0.0	0.000484066155708	0.0	0.000215140513648	0.00250100847116
01.2680.01	0.0	0.000111327581408	0.0	0.000612301697746	0.00012988217831	0.000983393635773	0.000371091938028	0.00883198812506	0.00144725855831	0.0	0.01053901104	0.507843137255	0.0	9.27729845069e-05	0.00363670099267	0.0	5.56637907041e-05	0.0	1.85545969014e-05	0.0040634567214
01.3045.01	0.0	0.00266242143112	0.0	0.00268986907474	0.0	0.00716383498477	0.000878324595833	0.0117475914693	0.00134493453737	0.000137238218099	0.0242911646035	0.0	0.021299371449	0.000521505228776	0.00705404441029	0.232589405754	0.0	0.00161941097357	0.000713638734115	0.0307413608542
01.3280.01	0.0	6.48172154524e-05	0.0	0.000302480338778	0.0	0.808529945554	8.64229539366e-05	0.0036729755423	0.000216057384841	0.000475326246651	0.0447886958776	0.323516858728	0.0	0.0	0.00429954195834	0.0	0.0	2.16057384841e-05	0.000172845907873	0.00758361420793
01.3518.01	6.70241286863e-05	0.000714924039321	4.46827524576e-05	0.000960679177837	0.0	0.00176496872207	0.000223413762288	0.00676943699732	2.23413762288e-05	0.0	0.00493744414656	0.71065230401	6.70241286863e-05	4.46827524576e-05	0.00174262734584	0.0	0.00411081322609	0.0	0.000156389633601	0.00690348525469
01.4082.01	0.0	0.00166410117735	0.0	0.00732204518035	0.00861172359279	0.0648999459167	0.000956858176977	0.0579523235013	0.0060323667679	8.32050588676e-05	0.262345550609	0.796840442338	0.0	0.00108166576528	0.00449307317885	0.0511848341232	0.0	4.16025294338e-05	0.000832050588676	0.00861172359279
